movie_name,release_year,certificate,duration,genre,star,metascore,votes
Call Me Kat,2021– ,TV-PG,21 min,Comedy,5.0,nil,"4,149"
Katla,2021– ,TV-MA,nil,"Drama, Mystery, Sci-Fi",7.2,nil,"4,104"
 Aspirants,2021– ,not rated,38 min,Drama,9.4,nil,"4,084"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.4,nil,"4,050"
History of Swear Words,2021– ,TV-MA,124 min,"Documentary, Comedy",6.4,nil,"4,013"
Have You Ever Seen Fireflies?,2021,TV-14,113 min,"Comedy, Drama",6.2,nil,"3,999"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.2,nil,"3,992"
Girl in the Basement,2021,TV-14,88 min,"Crime, Thriller",6.4,nil,"3,980"
Blue Miracle,2021,TV-PG,95 min,"Adventure, Biography, Drama",6.7,48        ,"3,964"
Justice Society: World War II,2021,PG-13,84 min,"Animation, Action, Adventure",6.4,nil,"3,893"
Sardar Ka Grandson,2021,TV-14,139 min,"Comedy, Drama, Romance",4.1,nil,"3,862"
His Story,2021– ,not rated,nil,Drama,9.7,nil,"3,854"
Nail Polish,2021,not rated,128 min,Drama,7.4,nil,"3,798"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.6,nil,"3,782"
Sexify,2021– ,TV-MA,40 min,"Comedy, Drama",6.6,nil,"3,775"
The Underground Railroad,2021– ,TV-MA,593 min,"Drama, History, War",7.3,nil,"3,773"
Top Class: The Life and Times of the Sierra Canyon Trailblazers,2021– ,Not Rated,30 min,"Documentary, Sport",9.7,nil,"3,752"
I Am All Girls,2021,TV-MA,107 min,"Crime, Drama, Mystery",5.8,nil,"3,728"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,704"
Chad,2021– ,TV-MA,30 min,Comedy,2.7,nil,"3,682"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.5,nil,"3,605"
Fear of Rain,2021,PG-13,109 min,"Drama, Horror, Thriller",5.9,nil,"3,579
| Gross"
Pogaru,2021,not rated,160 min,Action,5.7,nil,"3,574"
The Virtuoso,2021,R,110 min,"Action, Crime, Thriller",4.9,24        ,"3,574"
Sultan,2021,TV-MA,145 min,"Action, Drama",6.4,nil,"3,549"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,546"
 Mare of Easttown,2021,TV-MA,58 min,"Crime, Drama, Mystery",8.1,nil,"3,539"
Batman: Soul of the Dragon,2021,R,83 min,"Animation, Action, Adventure",6.1,nil,"3,537"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.7,nil,"3,524"
Siyavash,2021– ,TV-14,50 min,Drama,6.2,nil,"3,515"
 Lucifer,2016– ,TV-14,60 min,"Crime, Drama, Fantasy",7.6,nil,"3,489"
Naandhi,2021,not rated,146 min,"Crime, Drama, Thriller",8.4,nil,"3,482"
Bombay Begums,2021– ,TV-MA,50 min,Drama,4.9,nil,"3,482"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,480"
Tiger,2021,TV-MA,192 min,"Documentary, Biography, Sport",7.8,nil,"3,478"
Yasuke,2021– ,TV-MA,30 min,"Animation, Action, Adventure",6.3,nil,"3,464"
Us Again,2021,G,7 min,"Animation, Short, Drama",8.0,nil,"3,461"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,455"
Silence: Can You Hear It,2021,not rated,136 min,"Crime, Thriller",6.6,nil,"3,419"
The Mighty Ducks: Game Changers,2021– ,TV-PG,nil,"Comedy, Drama, Sport",7.5,nil,"3,413"
Saina,2021,not rated,135 min,"Biography, Drama, Sport",4.2,nil,"3,410"
Yuvarathnaa,2021,not rated,161 min,"Action, Drama",6.6,nil,"3,400"
Maara,2021,not rated,149 min,"Adventure, Drama, Mystery",7.7,nil,"3,355"
A Week Away,2021,TV-PG,94 min,"Drama, Family, Musical",5.7,32        ,"3,354"
Pelé,2021,TV-14,108 min,"Documentary, Biography, Sport",7.0,61        ,"3,347"
Pacific Rim: The Black,2021– ,TV-14,24 min,"Animation, Action, Adventure",7.1,nil,"3,322"
The Minimalists: Less Is Now,2021,TV-14,53 min,Documentary,5.9,nil,"3,302"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.6,nil,"3,268"
 Mare of Easttown,2021,TV-MA,58 min,"Crime, Drama, Mystery",8.7,nil,"3,257"
Horimiya,I 2021– ,TV-14,24 min,"Animation, Comedy, Drama",8.3,nil,"3,223"
Mushoku Tensei: Jobless Reincarnation,2021– ,TV-14,24 min,"Animation, Adventure, Fantasy",8.4,nil,"3,207"
